FirstName,LastName,Gender,Title,CompanyName,AnnualRevenue,NumEmployees,DateLastContacted,CompanyLocation,EmailAddress,DealSize,Industry,NumOpens,DaysSince,DealStatus,SalesNotes
Harrison,Sims,0,Manager,SecureSys Group,90562260,4528,2024-06-09,Mexico,hsims@securesysgroup.com,452811,Management,45,46,Opportunity,Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Follow-up call after proposal submission. CTO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Robert,Ingram,0,Manager,HighSolve Corp,4789919,239,2024-06-20,Spain,ringram@highsolvecorp.com,23950,Construction,76,35,Opportunity,"Attended Industry Conference and met with CFO. They're exploring options to improve their operational efficiency and mentioned our competitor, McKinsey. Follow-up email sent. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in operational efficiency."
Isiah,Conklin,0,Manager,HighSoft Group,93886346,4694,2024-02-02,UK,iconklin@highsoftgroup.com,469432,Manufacturing,10,174,Suspect,Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Shared our company overview and case studies relevant to their industry. CTO is particularly interested in understanding how we measure ROI on our engagements. Call with CTO to address their concerns about team's skills'. Reassured them about our commitment to delivering results and agreed on a plan of action.
Jose,Wilson,0,VP,NetStore LLP,37793162,1890,2024-05-29,Ukraine,jwilson@netstorellp.com,188966,Transportation,2,57,Opportunity,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Discovery call completed. Key takeaways: Prospect company is facing supply chain disruptions. They seem open to a strategic assessment. VP requested a meeting to discuss expanding the project scope to include market research.
Myrisah,Wilson,1,Marketing Coordinator,SuperWare Inc,58292567,2915,2024-06-23,UK,mwilson@superwareinc.com,291463,Management,56,32,Opportunity,"Attended Trade Show and met with CFO. They're exploring options to improve their profit margins and mentioned our competitor, BCG. Follow-up email sent. Attended Trade Show and met with CFO. They're exploring options to improve their profit margins and mentioned our competitor, BCG. Follow-up email sent. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations."
Sulama,el-Shad,1,Marketing Coordinator,HighQuest LLC,52374535,2619,2024-06-23,Brazil,sel-shad@highquestllc.com,261873,Manufacturing,74,32,Opportunity,Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-18 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-18 to discuss their specific needs. CEO requested a meeting to discuss expanding the project scope to include large language models.
Joel,Hasenbalg,0,Marketing Associate,HighComp Corp,37508374,1875,2024-05-05,India,jhasenbalg@highcompcorp.com,187542,Finance,55,81,Opportunity,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Follow-up call after proposal submission. VP had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly.
Zakkary,Bear,0,Director,GlobalLogix Corp,50489188,2524,2024-04-04,China,zbear@globallogixcorp.com,252446,Professional,27,112,Lead,Initial outreach via LinkedIn. Prospect expressed interest in our digital transformation services. Scheduled a discovery call for 2024-08-05 to discuss their specific needs. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-05 to discuss next steps.
Jasmine,Duke,1,Marketing Associate,GlobalSolve Group,42587117,2129,2024-03-23,France,jduke@globalsolvegroup.com,212936,Information,55,124,Prospect,"Cold call to Director at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with merger. Attended Webinar and met with Director. They're exploring options to improve their customer experience and mentioned our competitor, Bain. Follow-up email sent. Shared our company overview and case studies relevant to their industry. Director is particularly interested in understanding how we measure ROI on our engagements. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Retail and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-14."
Andrew,Kuebler,0,Manager,NetLogix Ltd,3012362,151,2024-04-04,Japan,akuebler@netlogixltd.com,15062,Arts,8,112,Lead,"Initial outreach via LinkedIn. Prospect expressed interest in our AI consulting. Scheduled a discovery call for 2024-08-21 to discuss their specific needs. Attended Industry Conference and met with Director. They're exploring options to improve their profit margins and mentioned our competitor, McKinsey. Follow-up email sent. Shared our company overview and case studies relevant to their industry. Director is particularly interested in understanding how we measure ROI on our engagements. Call with Director to address their concerns about budget allocation. Reassured them about our commitment to delivering results and agreed on a plan of action. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in profit margins."
Haniyya,al-Hussain,1,Manager,UltraTech LLP,72000725,3600,2024-03-06,Brazil,hal-hussain@ultratechllp.com,360004,Mining,34,141,Prospect,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Attended Trade Show and met with CFO. They're exploring options to improve their change management and mentioned our competitor, BCG. Follow-up email sent. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Leilani,Iron Wing,1,Manager,NetComp Inc,82780552,4139,2024-02-29,USA,liron wing@netcompinc.com,413903,Finance,30,147,Prospect,Initial outreach via LinkedIn. Prospect expressed interest in our data science consulting. Scheduled a discovery call for 2024-08-12 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our data science consulting. Scheduled a discovery call for 2024-08-12 to discuss their specific needs. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-12 to discuss next steps. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Jessica,Murillo,1,Marketing Associate,GlobalMart Corp,32229429,1611,2024-03-26,Spain,jmurillo@globalmartcorp.com,161147,Finance,18,121,Prospect,Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with high employee turnover. Initial outreach via LinkedIn. Prospect expressed interest in our digital transformation services. Scheduled a discovery call for 2024-08-04 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. Manager is particularly interested in understanding how we measure ROI on our engagements. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations.
Joseph,Francis,0,Marketing Associate,EduMarket Inc,46262599,2313,2024-07-06,Canada,jfrancis@edumarketinc.com,231313,Arts,9,19,Closed Won,"Attended Coregistration Event and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Attended Coregistration Event and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-02 to discuss next steps. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations."
Devan,Post,0,Manager,SuperStore Group,36310326,1816,2024-02-06,Canada,dpost@superstoregroup.com,181552,Construction,65,170,Suspect,"Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-17 to discuss their specific needs. Attended Trade Show and met with Director. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Deloitte. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing increased competition. They seem open to a strategic assessment. Follow-up call after proposal submission. Director had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Glennon,Kumagai,0,Manager,AIComp Corp,82875782,4144,2024-03-04,Spain,gkumagai@aicompcorp.com,414379,Manufacturing,74,143,Prospect,"Attended Networking Event and met with VP. They're exploring options to improve their change management and mentioned our competitor, McKinsey. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our product market fit. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. VP is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. VP had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Mallan,Jefferson,0,Manager,EduSoft Inc,12072874,604,2024-07-13,Germany,mjefferson@edusoftinc.com,60364,Professional,40,12,Closed Won,"Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-06 to discuss their specific needs. Attended Coregistration Event and met with Director. They're exploring options to improve their profit margins and mentioned our competitor, BCG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing shortage of qualified workers. They seem open to a strategic assessment. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Trent,Gonzales,0,Marketing Coordinator,GlobalTech Ltd,98398312,4920,2024-06-28,China,tgonzales@globaltechltd.com,491992,Wholesale Trade,34,27,Closed Won,Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. CTO is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. CTO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. CTO requested a meeting to discuss expanding the project scope to include process automation.
Emily,Springfield,1,Marketing Associate,SecureQuest LLC,45759300,2288,2024-06-15,Australia,espringfield@securequestllc.com,228796,Education,29,40,Opportunity,"Attended Webinar and met with Manager. They're exploring options to improve their operational efficiency and mentioned our competitor, Deloitte. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-12 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. Manager is particularly interested in understanding how we measure ROI on our engagements. Call with Manager to address their concerns about project timeline. Reassured them about our commitment to delivering results and agreed on a plan of action. Manager requested a meeting to discuss expanding the project scope to include process automation."
Veronica,Kearns,1,Manager,FarmStore Group,71912893,3596,2024-04-01,Ukraine,vkearns@farmstoregroup.com,359564,Management,18,115,Lead,"Attended Industry Conference and met with CEO. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Deloitte. Follow-up email sent. Attended Industry Conference and met with CEO. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Deloitte. Follow-up email sent. Shared our company overview and case studies relevant to their industry. CEO is particularly interested in understanding how we measure ROI on our engagements. Proposal for Digital Transformation Roadmap sent. Highlighted our experience in Healthcare and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-21. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Emma,Nguyen,1,Marketing Coordinator,MegaTech Corp,3005586,150,2024-04-12,USA,enguyen@megatechcorp.com,15028,Health Care,14,104,Lead,"Attended Coregistration Event and met with Director. They're exploring options to improve their AI implementation and mentioned our competitor, BCG. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-11 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing digital transformation. They seem open to a strategic assessment. Proposal for Customer Journey Optimization sent. Highlighted our experience in Engineering and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-11. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
Ahasuerus,Woolfolk,0,Marketing Coordinator,EcoHard Corp,95212098,4761,2024-04-16,UK,awoolfolk@ecohardcorp.com,476060,Finance,20,100,Lead,Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-24 to discuss next steps. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. CFO requested a meeting to discuss expanding the project scope to include process automation.
Austin,Tran,0,Marketing Associate,EduSolve Ltd,21698583,1085,2024-06-16,Spain,atran@edusolveltd.com,108493,Information,73,39,Opportunity,"Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Attended Trade Show and met with CTO. They're exploring options to improve their AI implementation and mentioned our competitor, BCG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing declining sales. They seem open to a strategic assessment. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-18 to discuss next steps. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
Evan,Turner,0,Senior Manager,NetSoft Ltd,99346626,4967,2024-07-16,Brazil,eturner@netsoftltd.com,496733,Manufacturing,59,9,Closed Won,"Attended Trade Show and met with CEO. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Bain. Follow-up email sent. Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Call with CEO to address their concerns about team's availability. Reassured them about our commitment to delivering results and agreed on a plan of action."
Deepak,Phan,0,Manager,InfoTech Ltd,96934845,4847,2024-02-14,Italy,dphan@infotechltd.com,484674,Wholesale Trade,33,162,Suspect,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with shortage of qualified workers. Initial outreach via LinkedIn. Prospect expressed interest in our customer experience design. Scheduled a discovery call for 2024-08-23 to discuss their specific needs.
Charisha,Ulery,1,Manager,GlobalQuest Ltd,23410560,1171,2024-05-02,Canada,culery@globalquestltd.com,117053,Real Estate,39,84,Opportunity,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Attended Webinar and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, McKinsey. Follow-up email sent. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements."
Danika,Hardt,1,Manager,SecureCom LLC,54753220,2738,2024-04-17,Australia,dhardt@securecomllc.com,273766,Real Estate,67,99,Lead,"Cold call to Director at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Attended Sales Sinner and met with Director. They're exploring options to improve their operational efficiency and mentioned our competitor, Deloitte. Follow-up email sent. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in operational efficiency."
Karely,Diosdado,1,Director,AISoft Inc,33752555,1688,2024-05-12,Italy,kdiosdado@aisoftinc.com,168763,Arts,78,74,Opportunity,"Attended Sales Sinner and met with CEO. They're exploring options to improve their operational efficiency and mentioned our competitor, BCG. Follow-up email sent. Attended Sales Sinner and met with CEO. They're exploring options to improve their operational efficiency and mentioned our competitor, BCG. Follow-up email sent. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Michael,Crittenden,0,Marketing Associate,AISoft Corp,47007843,2350,2024-07-10,Spain,mcrittenden@aisoftcorp.com,235039,Management,14,15,Closed Won,"Attended Networking Event and met with Manager. They're exploring options to improve their customer experience and mentioned our competitor, IBM IX. Follow-up email sent. Attended Networking Event and met with Manager. They're exploring options to improve their customer experience and mentioned our competitor, IBM IX. Follow-up email sent. Follow-up call after proposal submission. Manager had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations."
Sariah,Montes,1,Senior Manager,EduMart Inc,60253978,3013,2024-03-30,USA,smontes@edumartinc.com,301270,Transportation,68,117,Lead,Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with market expansion.
Preston,Stevens,0,Marketing Coordinator,SuperSys Ltd,98298917,4915,2024-05-29,India,pstevens@supersysltd.com,491495,Management,65,57,Opportunity,"Attended Webinar and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, KPMG. Follow-up email sent. Attended Webinar and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, KPMG. Follow-up email sent."
Abdul Kareem,al-Salama,0,Manager,SuperMart LLP,15320515,766,2024-06-18,Canada,aal-salama@supermartllp.com,76603,Mining,49,37,Opportunity,"Attended Trade Show and met with Director. They're exploring options to improve their profit margins and mentioned our competitor, IBM IX. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-24 to discuss their specific needs. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Director requested a meeting to discuss expanding the project scope to include change management."
Johanna,Sanchez,1,Manager,UltraWare LLC,58145419,2907,2024-05-20,Mexico,jsanchez@ultrawarellc.com,290727,Agriculture,36,66,Opportunity,"Attended Trade Show and met with Manager. They're exploring options to improve their change management and mentioned our competitor, Deloitte. Follow-up email sent. Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-03 to discuss next steps. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Bilaal,al-Salaam,0,Manager,SecureNet Ltd,85403758,4270,2024-04-25,Germany,bal-salaam@securenetltd.com,427019,Agriculture,56,91,Lead,"Attended Webinar and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, Deloitte. Follow-up email sent. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements. Second proposal iteration sent with adjusted pricing and timeline. Meeting scheduled for 2024-08-11 to discuss next steps. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Shantell,Webster,1,Director,TransTech LLP,79009404,3950,2024-05-04,Canada,swebster@transtechllp.com,395047,Professional,20,82,Opportunity,"Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with increased competition. Attended Sales Sinner and met with VP. They're exploring options to improve their AI implementation and mentioned our competitor, BCG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing increased competition. They seem open to a strategic assessment. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Financial Services and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-19. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
Ivan,Roten,0,Marketing Coordinator,UltraComp LLC,53565480,2678,2024-06-26,Australia,iroten@ultracompllc.com,267827,Real Estate,46,29,Closed Won,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Follow-up call after proposal submission. VP had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly.
Steven,La,0,Marketing Coordinator,SuperLogix Group,92764536,4638,2024-05-21,UK,sla@superlogixgroup.com,463823,Wholesale Trade,30,65,Opportunity,"Initial outreach via LinkedIn. Prospect expressed interest in our change management consulting. Scheduled a discovery call for 2024-08-15 to discuss their specific needs. Cold call to CEO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Competitor, IBM IX, is also bidding for this project. We need to emphasize our unique strengths and tailor our approach to win this deal. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Madison,Grove,1,Marketing Coordinator,AICom LLP,90929510,4546,2024-02-05,Brazil,mgrove@aicomllp.com,454648,Health Care,45,171,Suspect,"Attended Trade Show and met with CEO. They're exploring options to improve their operational efficiency and mentioned our competitor, McKinsey. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-23 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing declining sales. They seem open to a strategic assessment. Follow-up call after proposal submission. CEO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. CEO requested a meeting to discuss expanding the project scope to include AI image generation."
Jesse,Beebe,0,Manager,EduHard Corp,55966155,2798,2024-07-10,Germany,jbeebe@eduhardcorp.com,279831,Information,2,15,Closed Won,"Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with merger. Attended Trade Show and met with CTO. They're exploring options to improve their operational efficiency and mentioned our competitor, Bain. Follow-up email sent. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Insurance and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-07. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Shraya,Herndon,1,Director,SecureQuest LLP,11364633,568,2024-04-11,China,sherndon@securequestllp.com,56823,Mining,20,105,Lead,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with supply chain disruptions. Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-09 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing supply chain disruptions. They seem open to a strategic assessment. Call with VP to address their concerns about team's availability. Reassured them about our commitment to delivering results and agreed on a plan of action. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Aurelia,Maddux,1,Marketing Coordinator,InfoSolve LLC,57108931,2855,2024-05-05,South Korea,amaddux@infosolvellc.com,285545,Retail Trade,57,81,Opportunity,"Attended Trade Show and met with CFO. They're exploring options to improve their customer experience and mentioned our competitor, IBM IX. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-22 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing merger. They seem open to a strategic assessment. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Engineering and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-22."
Brenna,Keener,1,Marketing Coordinator,UltraMarket Inc,59504294,2975,2024-04-19,Ukraine,bkeener@ultramarketinc.com,297521,Management,11,97,Lead,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with shortage of qualified workers. Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with shortage of qualified workers. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for Exploratory Data Analysis sent. Highlighted our experience in Construction and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-15. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Junaid,al-Abdelnour,0,Manager,MegaMart LLP,38988595,1949,2024-02-27,Italy,jal-abdelnour@megamartllp.com,194943,Mining,27,149,Prospect,Initial outreach via LinkedIn. Prospect expressed interest in our AI consulting. Scheduled a discovery call for 2024-08-14 to discuss their specific needs. Initial outreach via LinkedIn. Prospect expressed interest in our AI consulting. Scheduled a discovery call for 2024-08-14 to discuss their specific needs. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication.
Cody,Falagrady,0,Director,GlobalSoft Inc,39923812,1996,2024-05-24,France,cfalagrady@globalsoftinc.com,199619,Health Care,77,62,Opportunity,"Cold call to CTO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with increased competition. Attended Trade Show and met with CTO. They're exploring options to improve their customer experience and mentioned our competitor, KPMG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing increased competition. They seem open to a strategic assessment. Proposal for Digital Transformation Roadmap sent. Highlighted our experience in Education and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-18. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience."
Haaritha,el-Adel,1,Senior Manager,FarmWare LLC,87444369,4372,2024-02-03,China,hel-adel@farmwarellc.com,437222,Health Care,66,173,Suspect,"Cold call to Manager at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Attended Sales Sinner and met with Manager. They're exploring options to improve their data analytics capabilities and mentioned our competitor, Bain. Follow-up email sent. Follow-up call after proposal submission. Manager had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Competitor, Bain, is also bidding for this project. We need to emphasize our unique strengths and tailor our approach to win this deal. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Eulalia,Aviado,1,VP,NetLogix LLC,21929807,1096,2024-07-17,Japan,eaviado@netlogixllc.com,109649,Transportation,24,8,Closed Won,"Attended Networking Event and met with CTO. They're exploring options to improve their data analytics capabilities and mentioned our competitor, McKinsey. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our supply chain optimization. Scheduled a discovery call for 2024-08-07 to discuss their specific needs. Follow-up call after proposal submission. CTO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Zahra,el-Assad,1,Marketing Associate,EcoLogix Corp,43755165,2188,2024-02-06,Canada,zel-assad@ecologixcorp.com,218776,Manufacturing,56,170,Suspect,"Attended Trade Show and met with CFO. They're exploring options to improve their operational efficiency and mentioned our competitor, Deloitte. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our analytics consulting. Scheduled a discovery call for 2024-08-02 to discuss their specific needs. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for Customer Journey Optimization sent. Highlighted our experience in Retail and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-02."
Jelsea Nicole,Weaver,1,Manager,AISys Inc,30961000,1548,2024-05-26,USA,jweaver@aisysinc.com,154805,Construction,54,60,Opportunity,"Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with merger. Attended Coregistration Event and met with VP. They're exploring options to improve their change management and mentioned our competitor, BCG. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing merger. They seem open to a strategic assessment. Follow-up call after proposal submission. VP had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Jacqueline,Perez,1,Manager,AIQuest Corp,81952278,4098,2024-04-15,South Korea,jperez@aiquestcorp.com,409761,Professional,61,101,Lead,"Attended Sales Sinner and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, KPMG. Follow-up email sent. Attended Sales Sinner and met with CFO. They're exploring options to improve their AI implementation and mentioned our competitor, KPMG. Follow-up email sent. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
