"","userid","dealamount","lastname","firstname","source","status","rep","company","firstcontact","won"
"1476",28259152,50000,"el-Elamin","Jaspreet","Email","Suspect","Nestor","Great Services LLC",2015-08-09,0
"1477",16743392,20000,"Morquecho","Nathan","Conference","Opportunity","Rachelle","Popular Partners LLC",2016-03-28,0
"1478",68409678,60000,"Hoang","Rachel","Web","Opportunity","Rachelle","Great Services LLP",2013-10-29,0
"1479",48281,60000,"Sayers","Andrea","Paid Ads","Closed Lost","Shay","Great Enterprises LLC",2017-11-08,0
"1480",80136832,70000,"Vazquez","Shalynn","Conference","Negotiation","Rachelle","Wonderful Goods Inc.",2017-09-07,0
"1481",85212433,10000,"Horton","Sofia","Trade Show","Negotiation","Johnson","Popular Partners LLC",2014-01-20,0
"1482",62333926,90000,"Bancroft","Andrew","Paid Ads","Closed Lost","Johnson","Great Products LLC",2013-07-03,0
"1483",72444565,100000,"Anderson","Kedryck","Web","Closed Lost","Shay","Popular Partners LLC",2014-11-05,0
"1484",58339450,80000,"Jefferson","Kyrie","Social","Closed Lost","Angelo","Wonderful Services LLP",2017-07-02,0
"1485",38576340,40000,"Pavone","Jacob","Referral","Negotiation","Johnson","Wonderful Partners LLC",2013-11-07,0
"1486",28611747,30000,"Adams","Jaszymn","Trade Show","Negotiation","Nestor","Popular Products LLP",2013-11-24,0
"1487",89562010,60000,"Thach","Yun","Referral","Suspect","Haamida","Popular Partners LLP",2013-05-15,0
"1488",72271237,40000,"Kryuchkovskiy","Naomi","Web","Prospect","Haamida","Great Enterprises LLP",2014-12-14,0
"1489",45268425,50000,"Billingsley","Ayyoob","Webinar","Proposal","Nestor","Popular Services LLC",2017-04-27,0
"1490",52964348,40000,"Wu","Paulina","Conference","Lead","Shay","Great Products Inc.",2013-03-29,0
"1491",73540810,50000,"Camplese","Dane","Email","Closed Lost","Shay","Popular Goods LLC",2015-12-03,0
"1492",82467600,10000,"Camara","Andie","Email","Suspect","Rachelle","Popular Enterprises LLP",2016-03-24,0
"1493",83496985,60000,"el-Quadri","Eli","Social","Proposal","Rachelle","Popular Services Inc.",2017-09-11,0
"1494",89215474,20000,"el-Qazi","Ajohn","Social","Opportunity","Victor","Wonderful Partners LLC",2012-11-16,0
"1495",41527342,50000,"el-Kalil","Hunter","Conference","Opportunity","Rachelle","Wonderful Services Inc.",2016-10-12,0
"1496",96599205,60000,"Alexander","Issiah","Referral","Prospect","Rachelle","Great Goods Inc.",2012-05-11,0
"1497",10921585,30000,"Murphy","Falisha","Email","Negotiation","Victor","Wonderful Enterprises LLP",2016-08-25,0
"1498",10938834,50000,"Schrader","Kaitlyn","Email","Opportunity","Johnson","Popular Services LLC",2015-12-30,0
"1499",11380814,70000,"Nazir","Alexandra","Referral","Suspect","Haamida","Great Services LLC",2016-05-07,0
"1500",44846242,40000,"Iese Jr","Mitchell","Social","Lead","Johnson","Great Goods LLC",2013-05-11,0
"1501",38409944,50000,"Ray","Hannah","Social","Prospect","Victor","Wonderful Partners Inc.",2012-03-29,0
"1502",91351147,50000,"Perkins","Brooke","Email","Opportunity","Victor","Wonderful Enterprises LLP",2014-04-25,0
"1503",82382680,90000,"Richardson","Joshua","Webinar","Closed Won","Angelo","Popular Partners LLP",2012-11-24,1
"1504",8543797,30000,"Cotton","Shiloh","Referral","Closed Won","Angelo","Wonderful Services Inc.",2017-10-03,1
"1505",46336820,40000,"al-Karam","Macey","Social","Suspect","Haamida","Wonderful Goods LLP",2014-01-21,0
"1506",3561530,70000,"Elliott","Navdeep","Conference","Closed Won","Hunter","Great Enterprises LLC",2012-04-23,1
"1507",73767285,100000,"Mckay","Edgar","Social","Closed Lost","Victor","Popular Products LLP",2014-06-22,0
"1508",27868021,80000,"Martinez","Fiona","Referral","Closed Lost","Shay","Popular Enterprises LLC",2014-09-05,0
"1509",37936000,80000,"Quintana","Katrina","Referral","Closed Won","Haamida","Great Goods Inc.",2017-09-08,1
"1510",88998702,70000,"Mitchell","Linda","Web","Closed Lost","Angelo","Popular Partners LLC",2012-12-03,0
"1511",44500758,20000,"Newberry","Ivory","Trade Show","Suspect","Victor","Great Services LLC",2014-07-30,0
"1512",33264441,90000,"al-Pashia","Helen","Trade Show","Lead","Victor","Wonderful Enterprises LLP",2013-02-14,0
"1513",54023331,80000,"Guerrero","Guadalupe","Web","Closed Lost","Johnson","Popular Services LLC",2013-02-19,0
"1514",79393928,10000,"Songer","Nooriyya","Trade Show","Closed Won","Nestor","Popular Services LLP",2014-08-03,1
"1515",63845925,60000,"Gordon","Ryan","Webinar","Lead","Rachelle","Wonderful Goods Inc.",2014-04-29,0
"1516",55472732,100000,"Toth","Anthony","Webinar","Suspect","Angelo","Wonderful Services LLP",2016-11-23,0
"1517",3963662,70000,"Thomas-Maurice","Caitlyn","Conference","Suspect","Rachelle","Great Goods LLP",2014-10-27,0
"1518",84669754,30000,"Miera","Diana","Email","Prospect","Victor","Great Partners LLP",2014-12-18,0
"1519",42816900,10000,"Warren","Acineth","Email","Suspect","Haamida","Great Services LLC",2012-03-19,0
"1520",71308407,90000,"Davila","Shannon","Social","Opportunity","Johnson","Popular Goods Inc.",2015-09-04,0
"1521",91977496,60000,"Lytle","Jillian","Conference","Lead","Shay","Great Services Inc.",2012-06-01,0
"1522",53849309,30000,"Uribe","Regina","Email","Closed Lost","Victor","Great Products Inc.",2013-03-02,0
"1523",40459167,20000,"Mosqueira","Izzat","Conference","Suspect","Angelo","Great Services LLP",2017-03-02,0
"1524",3438440,30000,"Kidwell","Nixie","Web","Closed Won","Angelo","Popular Products LLC",2016-03-02,1
"1525",17103857,100000,"Lafferty","Annette","Web","Prospect","Hunter","Wonderful Goods Inc.",2016-05-12,0
"1526",57842652,20000,"el-Koroma","Haajara","Web","Closed Won","Haamida","Great Products Inc.",2015-08-09,1
"1527",17993937,80000,"el-Sayed","Eric","Web","Closed Won","Angelo","Great Partners Inc.",2016-03-28,1
"1528",80327612,90000,"al-Bilal","Najeeb","Conference","Prospect","Rachelle","Great Products LLP",2013-10-29,0
"1529",81702492,40000,"Atencio","Hector","Trade Show","Closed Won","Nestor","Great Enterprises Inc.",2017-11-08,1
"1530",24090253,80000,"Seals","Amanda","Web","Suspect","Rachelle","Popular Enterprises Inc.",2017-09-07,0
"1531",445729,70000,"el-Asad","Samuel","Trade Show","Proposal","Victor","Wonderful Products LLP",2014-01-20,0
"1532",2120150,50000,"Ventsam","Ashley","Webinar","Closed Lost","Angelo","Great Enterprises LLP",2013-07-03,0
"1533",8907480,100000,"Okamatsu","Cameron","Trade Show","Closed Won","Shay","Popular Partners LLC",2014-11-05,1
"1534",94586043,20000,"Lamont","Zamir","Paid Ads","Suspect","Hunter","Great Goods Inc.",2017-07-02,0
"1535",78134316,90000,"Lue","Karsta","Webinar","Negotiation","Angelo","Popular Goods LLP",2013-11-07,0
"1536",54808378,40000,"el-Rehmann","Connor","Paid Ads","Lead","Johnson","Great Products LLP",2013-11-24,0
"1537",14773127,30000,"Fernandez","Emma","Trade Show","Lead","Hunter","Popular Services Inc.",2013-05-15,0
"1538",12140542,50000,"Gildon","Suhail","Web","Closed Lost","Rachelle","Great Services LLC",2014-12-14,0
"1539",85502650,30000,"el-Jalil","Lauren","Email","Opportunity","Hunter","Popular Services LLP",2017-04-27,0
"1540",46531222,10000,"Brickley","Connor","Email","Opportunity","Nestor","Great Partners LLP",2013-03-29,0
"1541",692509,90000,"Mclaughlin","Sumaita","Webinar","Closed Lost","Shay","Wonderful Goods LLC",2015-12-03,0
"1542",52951600,100000,"Powells","Mariana","Referral","Suspect","Nestor","Popular Products LLP",2016-03-24,0
"1543",89715646,80000,"Lapaz","Andrew","Web","Proposal","Angelo","Great Products Inc.",2017-09-11,0
"1544",41159428,30000,"Deschaine","Davonta","Referral","Prospect","Rachelle","Great Services LLC",2012-11-16,0
"1545",40921830,50000,"Holder","Cody","Conference","Proposal","Johnson","Wonderful Enterprises LLP",2016-10-12,0
"1546",80051633,30000,"el-Sayed","Nicholas","Trade Show","Closed Lost","Rachelle","Wonderful Services Inc.",2012-05-11,0
"1547",10142275,60000,"al-Amen","Ty","Referral","Proposal","Rachelle","Popular Enterprises LLP",2016-08-25,0
"1548",40501845,30000,"Elliott","Christopher","Email","Closed Lost","Shay","Wonderful Services LLP",2015-12-30,0
"1549",42457525,60000,"Azarcon","Michael","Referral","Lead","Johnson","Wonderful Services LLP",2016-05-07,0
"1550",98850810,70000,"al-Ghanem","Brian","Trade Show","Suspect","Nestor","Wonderful Enterprises LLC",2013-05-11,0
"1551",49066172,80000,"al-Badie","Stephanie","Referral","Suspect","Angelo","Great Goods Inc.",2012-03-29,0
"1552",39063722,100000,"Davis","Dakota","Trade Show","Negotiation","Shay","Great Products Inc.",2014-04-25,0
"1553",11646771,100000,"Ramirez Castro","Alexandra","Trade Show","Prospect","Rachelle","Wonderful Goods LLP",2012-11-24,0
"1554",52202591,30000,"el-Elbaz","Naomi","Web","Closed Won","Haamida","Popular Partners LLC",2017-10-03,1
"1555",50663250,60000,"Freison","Alfred","Paid Ads","Suspect","Nestor","Popular Goods Inc.",2014-01-21,0
"1556",20582193,50000,"al-Zahra","Tiana","Trade Show","Proposal","Angelo","Wonderful Partners LLC",2012-04-23,0
"1557",42130900,90000,"Sandoval","Brittney","Webinar","Prospect","Shay","Great Goods LLP",2014-06-22,0
"1558",94569405,10000,"Ruiz","Jeremiah","Trade Show","Suspect","Hunter","Popular Products LLC",2014-09-05,0
"1559",85047121,10000,"Sanchez","Jesus","Paid Ads","Suspect","Shay","Wonderful Goods LLC",2017-09-08,0
"1560",49725468,20000,"Glasco","Tiffine","Paid Ads","Prospect","Nestor","Great Products LLC",2012-12-03,0
"1561",28405557,50000,"Kong","Yaasmeena","Referral","Prospect","Shay","Wonderful Services Inc.",2014-07-30,0
"1562",9813391,60000,"Dietrich","Yaasmeen","Paid Ads","Proposal","Hunter","Popular Enterprises LLC",2013-02-14,0
"1563",72108776,60000,"Valdovino","Porsha","Email","Proposal","Hunter","Popular Enterprises LLP",2013-02-19,0
"1564",38947119,80000,"al-Abdou","Ryan","Social","Opportunity","Hunter","Great Partners LLC",2014-08-03,0
"1565",94897665,60000,"Croom","Jun","Referral","Closed Won","Hunter","Great Services LLP",2014-04-29,1
"1566",49411698,10000,"Hutchison","Victor","Webinar","Lead","Victor","Popular Services LLP",2016-11-23,0
"1567",56345252,70000,"Salaz","Tarsis","Web","Suspect","Haamida","Popular Services LLC",2014-10-27,0
"1568",53935915,10000,"Stuhlman","Chanse","Paid Ads","Opportunity","Angelo","Great Partners LLC",2014-12-18,0
"1569",4810708,90000,"Eisenhauer","Danitra","Referral","Suspect","Hunter","Popular Services LLP",2012-03-19,0
"1570",33146762,90000,"Meier","Monique","Email","Closed Won","Angelo","Great Enterprises LLP",2015-09-04,1
"1571",89650977,20000,"Martin","Walter","Referral","Opportunity","Nestor","Great Services LLC",2012-06-01,0
"1572",92332782,80000,"Lindsey","Kelsey","Paid Ads","Opportunity","Shay","Wonderful Partners Inc.",2013-03-02,0
"1573",8861921,80000,"Bean","Rogelio","Trade Show","Negotiation","Victor","Popular Enterprises LLC",2017-03-02,0
"1574",20282925,60000,"Howlingwolf","Fawzi","Conference","Negotiation","Nestor","Popular Products LLP",2016-03-02,0
"1575",53488727,50000,"Ruiz","Madeleine","Referral","Suspect","Shay","Great Enterprises LLC",2016-05-12,0
"1576",8397468,80000,"Wright","Jasmine","Referral","Closed Lost","Hunter","Great Products LLP",2015-08-09,0
"1577",84450168,40000,"Coleman","Joseph","Social","Closed Won","Haamida","Popular Partners LLP",2016-03-28,1
"1578",66045935,70000,"al-Haider","Nicolas","Webinar","Closed Won","Victor","Great Partners LLP",2013-10-29,1
"1579",65309388,100000,"Hildreth","Thao","Referral","Opportunity","Victor","Great Goods Inc.",2017-11-08,0
"1580",17989703,80000,"Hollie","Marcony","Webinar","Negotiation","Nestor","Popular Enterprises LLP",2017-09-07,0
"1581",38423456,30000,"Richardson","Andrea","Social","Prospect","Nestor","Great Goods LLC",2014-01-20,0
"1582",78640093,80000,"Dowdell","Larissa","Email","Opportunity","Victor","Popular Goods Inc.",2013-07-03,0
"1583",79978350,20000,"Taylor","Gage","Web","Prospect","Victor","Popular Partners LLC",2014-11-05,0
"1584",3664288,30000,"Lopez","Raabiya","Social","Prospect","Shay","Wonderful Products LLP",2017-07-02,0
"1585",1485800,80000,"Medina","Gabrielle","Referral","Opportunity","Victor","Great Goods LLP",2013-11-07,0
"1586",32248814,40000,"al-Malek","Hilaal","Trade Show","Suspect","Rachelle","Popular Goods LLP",2013-11-24,0
"1587",42712105,30000,"el-Dajani","Phu","Conference","Prospect","Hunter","Wonderful Partners Inc.",2013-05-15,0
"1588",71033744,70000,"Maltese","Kevin","Referral","Suspect","Shay","Great Products LLC",2014-12-14,0
"1589",89006861,40000,"Marsh","Anthony","Conference","Proposal","Angelo","Popular Products LLP",2017-04-27,0
"1590",88487325,100000,"Wupper","Pavit","Webinar","Suspect","Johnson","Popular Goods LLP",2013-03-29,0
"1591",68250837,90000,"Yourell","Bandar","Email","Prospect","Shay","Popular Products LLC",2015-12-03,0
"1592",526843,50000,"Bejarano","Izzat","Webinar","Closed Lost","Rachelle","Wonderful Services LLC",2016-03-24,0
"1593",3004814,10000,"Nunez","Charles","Social","Suspect","Nestor","Popular Products Inc.",2017-09-11,0
"1594",80400748,30000,"Snellbaker","Steve","Conference","Opportunity","Shay","Popular Products LLP",2012-11-16,0
"1595",94922806,100000,"al-Rad","Eli","Paid Ads","Opportunity","Angelo","Great Enterprises LLP",2016-10-12,0
"1596",56243075,80000,"Houser","Nehemiah","Social","Prospect","Johnson","Wonderful Enterprises LLC",2012-05-11,0
"1597",8089761,60000,"Kim","Delena","Referral","Prospect","Hunter","Popular Partners LLP",2016-08-25,0
"1598",8438557,20000,"Thapa","Michael","Webinar","Negotiation","Johnson","Wonderful Goods LLC",2015-12-30,0
"1599",61540920,40000,"Bledsoe","Rachel","Email","Lead","Rachelle","Great Enterprises LLC",2016-05-07,0
"1600",59025879,80000,"Padilla","Azhaar","Referral","Opportunity","Hunter","Wonderful Partners Inc.",2013-05-11,0
"1601",53954271,100000,"el-Sawaya","Yaasmeena","Webinar","Opportunity","Victor","Popular Services Inc.",2012-03-29,0
"1602",74967999,70000,"Bonilla","Fayyaad","Referral","Suspect","Nestor","Wonderful Products LLC",2014-04-25,0
"1603",26251402,20000,"Casillas Barraza","Mariah","Conference","Closed Lost","Angelo","Wonderful Enterprises LLC",2012-11-24,0
"1604",79817183,40000,"el-Syed","Jacien","Trade Show","Negotiation","Angelo","Popular Enterprises Inc.",2017-10-03,0
"1605",95764199,10000,"Martell","Taylin","Conference","Suspect","Haamida","Wonderful Enterprises LLP",2014-01-21,0
"1606",20905793,20000,"Finch","Donovan","Referral","Proposal","Johnson","Popular Enterprises LLC",2012-04-23,0
"1607",80361082,50000,"Kills In Sight","Michelle","Conference","Negotiation","Rachelle","Wonderful Services LLP",2014-06-22,0
"1608",13231482,10000,"al-Nagi","Fahd","Trade Show","Opportunity","Johnson","Great Partners LLP",2014-09-05,0
"1609",56723879,10000,"Valdez","Terrell","Webinar","Closed Lost","Rachelle","Wonderful Services LLC",2017-09-08,0
"1610",55147375,60000,"Garza-Fortier","Farnaz","Trade Show","Proposal","Haamida","Great Goods LLC",2012-12-03,0
"1611",80007492,70000,"Garcia","Thaine","Social","Suspect","Angelo","Great Enterprises Inc.",2014-07-30,0
"1612",82751393,30000,"Blackmore","Jenny","Social","Negotiation","Nestor","Great Partners Inc.",2013-02-14,0
"1613",90552778,90000,"Martinez","Crystal","Conference","Opportunity","Victor","Popular Partners Inc.",2013-02-19,0
"1614",40050379,70000,"Calabretta","Faith","Webinar","Lead","Hunter","Popular Enterprises LLC",2014-08-03,0
"1615",19762363,70000,"Hernandez","Zachary","Trade Show","Suspect","Johnson","Popular Products LLP",2014-04-29,0
"1616",65121456,10000,"el-Hadi","Dakota","Trade Show","Negotiation","Angelo","Popular Goods Inc.",2016-11-23,0
"1617",45244040,50000,"Begay","Amber","Conference","Lead","Victor","Wonderful Products LLC",2014-10-27,0
"1618",78322779,80000,"Zuni","Jason","Web","Negotiation","Victor","Wonderful Services LLP",2014-12-18,0
"1619",21355234,40000,"Pergola","Brian","Email","Lead","Victor","Wonderful Products LLP",2012-03-19,0
"1620",94424639,60000,"King","Jeremy","Paid Ads","Closed Lost","Rachelle","Wonderful Enterprises Inc.",2015-09-04,0
"1621",91858759,50000,"el-Wahab","Ashley","Referral","Prospect","Victor","Wonderful Goods Inc.",2012-06-01,0
"1622",11010924,10000,"Dawson","Brandon","Conference","Suspect","Nestor","Wonderful Enterprises LLP",2013-03-02,0
"1623",64479157,20000,"Mejia","Dalilah","Trade Show","Closed Lost","Rachelle","Wonderful Partners LLC",2017-03-02,0
"1624",60344251,20000,"Gammon","Jacob","Social","Suspect","Angelo","Wonderful Products LLP",2016-03-02,0
"1625",31714020,40000,"Hernandez","Karla","Web","Negotiation","Nestor","Popular Partners LLP",2016-05-12,0
"1626",16810899,100000,"al-Jama","Trenton","Email","Suspect","Shay","Popular Products LLP",2015-08-09,0
"1627",25318052,20000,"Chavarria","Lucero","Email","Opportunity","Nestor","Great Services Inc.",2016-03-28,0
"1628",79705774,10000,"al-Zaidi","Darian","Trade Show","Suspect","Victor","Popular Partners LLP",2013-10-29,0
"1629",96008374,30000,"Hudgins","Rachel","Webinar","Opportunity","Nestor","Popular Enterprises LLP",2017-11-08,0
"1630",81541291,70000,"Myers","Dakota","Social","Lead","Victor","Great Products LLC",2017-09-07,0
"1631",35284818,80000,"Song","Joseph","Paid Ads","Lead","Johnson","Wonderful Services Inc.",2014-01-20,0
"1632",5026521,70000,"el-Siddiqui","Robert","Webinar","Opportunity","Hunter","Popular Products LLP",2013-07-03,0
"1633",69193331,90000,"Lorenzo","Joshua","Paid Ads","Closed Won","Rachelle","Wonderful Products Inc.",2014-11-05,1
"1634",79233772,30000,"Brooks","Dillon","Referral","Closed Lost","Johnson","Wonderful Services LLC",2017-07-02,0
"1635",3002924,50000,"Sandoval","Robin","Email","Closed Won","Rachelle","Wonderful Partners LLC",2013-11-07,1
"1636",6514312,80000,"Essogho","Faadil","Referral","Closed Won","Victor","Popular Services LLP",2013-11-24,1
"1637",42115905,40000,"Williams","Nickolette","Social","Opportunity","Haamida","Great Goods Inc.",2013-05-15,0
"1638",89921347,10000,"el-Hussein","Bryan","Conference","Closed Lost","Shay","Great Services LLC",2014-12-14,0
"1639",49930509,80000,"Lee","Jean","Web","Lead","Haamida","Wonderful Services Inc.",2017-04-27,0
"1640",61676122,60000,"Andrus","Adrian","Trade Show","Lead","Nestor","Wonderful Enterprises LLP",2013-03-29,0
"1641",26261006,90000,"Lor","Ashia","Social","Closed Won","Victor","Great Goods LLP",2015-12-03,1
"1642",28043441,60000,"Dessau","Abdul Quddoos","Paid Ads","Lead","Victor","Popular Enterprises Inc.",2016-03-24,0
"1643",14679867,30000,"Clair","Linda","Social","Proposal","Rachelle","Popular Goods LLP",2017-09-11,0
"1644",72520103,30000,"Curtis","Lakeysha","Webinar","Opportunity","Johnson","Great Partners Inc.",2012-11-16,0
"1645",98696222,60000,"al-Ammar","Phoenix","Paid Ads","Suspect","Johnson","Wonderful Products LLP",2016-10-12,0
"1646",87861200,90000,"Jarvis","Dinnicka","Paid Ads","Negotiation","Shay","Great Partners LLP",2012-05-11,0
"1647",15113246,80000,"el-Hoda","Robert","Conference","Closed Won","Nestor","Great Services LLC",2016-08-25,1
"1648",26243914,100000,"Avila","Tailor","Trade Show","Prospect","Angelo","Wonderful Services LLC",2015-12-30,0
"1649",32674719,100000,"Richards","Colton","Referral","Lead","Nestor","Great Services LLC",2016-05-07,0
"1650",75184962,40000,"Drenckpohl","Sarah","Webinar","Closed Lost","Johnson","Wonderful Enterprises Inc.",2013-05-11,0
"1651",18217548,50000,"Romero","Isabelle","Referral","Closed Lost","Hunter","Great Products Inc.",2012-03-29,0
"1652",67274737,50000,"Adams","Felipe","Trade Show","Lead","Shay","Great Services LLC",2014-04-25,0
"1653",83174104,80000,"Garcia","Rashele","Paid Ads","Proposal","Angelo","Great Products LLP",2012-11-24,0
"1654",96907151,40000,"Spratt","Odalis","Paid Ads","Prospect","Nestor","Great Services Inc.",2017-10-03,0
"1655",12681362,80000,"Millar","Matthew","Web","Negotiation","Johnson","Popular Services Inc.",2014-01-21,0
"1656",81642376,100000,"Luce","Catherine","Email","Closed Lost","Haamida","Wonderful Products LLP",2012-04-23,0
"1657",57125706,30000,"Stokes Jr","Sharlene","Webinar","Proposal","Haamida","Wonderful Products LLP",2014-06-22,0
"1658",56333275,50000,"Herrera","Makenzie","Conference","Lead","Hunter","Popular Enterprises LLC",2014-09-05,0
"1659",53113017,100000,"Vigliotti","Elias","Paid Ads","Opportunity","Johnson","Great Partners LLC",2017-09-08,0
"1660",22672387,50000,"Tsinnijinnie","Alec","Email","Closed Lost","Victor","Wonderful Goods LLC",2012-12-03,0
"1661",68306396,40000,"Rodriguez","Siey'Reaq","Web","Negotiation","Angelo","Wonderful Products Inc.",2014-07-30,0
"1662",92848746,10000,"Littlejohn","Joshua","Social","Suspect","Hunter","Wonderful Goods LLC",2013-02-14,0
"1663",20975371,30000,"al-Abdoo","Saabiqa","Social","Closed Won","Nestor","Wonderful Products LLP",2013-02-19,1
"1664",89006945,100000,"Bunting","Cassandra","Email","Suspect","Nestor","Great Services LLP",2014-08-03,0
"1665",51698808,100000,"Wright","Eric","Web","Suspect","Shay","Wonderful Services Inc.",2014-04-29,0
"1666",69968856,50000,"el-Shah","Taylor","Webinar","Suspect","Hunter","Great Partners LLP",2016-11-23,0
"1667",81475418,70000,"White","Najwa","Web","Proposal","Haamida","Wonderful Goods Inc.",2014-10-27,0
"1668",2111641,40000,"el-Azer","Jewell","Email","Proposal","Johnson","Popular Products LLP",2014-12-18,0
"1669",81876982,100000,"Beck","Khoa","Conference","Negotiation","Angelo","Wonderful Products Inc.",2012-03-19,0
"1670",28496863,100000,"al-Yousef","Brittany","Email","Opportunity","Angelo","Wonderful Enterprises Inc.",2015-09-04,0
"1671",95458954,10000,"el-Mohamed","Eric","Webinar","Lead","Angelo","Popular Products LLP",2012-06-01,0
"1672",34442901,10000,"al-Dajani","Mubeena","Web","Opportunity","Angelo","Great Partners LLC",2013-03-02,0
"1673",12317421,60000,"Fiddelke","Aseela","Social","Negotiation","Victor","Great Services LLC",2017-03-02,0
"1674",82957808,100000,"Kealiher","Dallas","Trade Show","Closed Won","Hunter","Popular Services LLP",2016-03-02,1
"1675",81163649,70000,"Perry","Anthony","Social","Suspect","Victor","Wonderful Products LLP",2016-05-12,0
"1676",49059943,30000,"Nobraid","Abyad","Referral","Lead","Angelo","Wonderful Partners LLP",2015-08-09,0
"1677",90073214,50000,"Bueno","Deiondre","Email","Closed Won","Johnson","Popular Products Inc.",2016-03-28,1
"1678",18684165,50000,"Stafford","Holly","Social","Suspect","Rachelle","Popular Partners LLP",2013-10-29,0
"1679",20264539,30000,"Dawson","Taylor","Paid Ads","Closed Won","Hunter","Wonderful Services Inc.",2017-11-08,1
"1680",10773600,10000,"Barnett","Deanna","Trade Show","Proposal","Hunter","Wonderful Goods LLC",2017-09-07,0
"1681",51548788,50000,"Adams","Zachery","Webinar","Closed Won","Hunter","Popular Partners LLC",2014-01-20,1
"1682",41079049,10000,"Sanders","Lohitha","Conference","Negotiation","Nestor","Popular Services LLP",2013-07-03,0
"1683",75646840,90000,"Mose","Christian","Web","Negotiation","Hunter","Wonderful Partners LLC",2014-11-05,0
"1684",98910737,90000,"el-Azizi","Derrick","Webinar","Opportunity","Rachelle","Wonderful Goods LLC",2017-07-02,0
"1685",2023065,30000,"Remillard","Ricardo","Referral","Proposal","Nestor","Popular Enterprises Inc.",2013-11-07,0
"1686",49421477,60000,"Finnegan","Ciara","Referral","Opportunity","Nestor","Wonderful Partners Inc.",2013-11-24,0
"1687",34506969,10000,"Richer","Donald","Web","Closed Lost","Victor","Wonderful Services LLP",2013-05-15,0
"1688",57967965,10000,"Asamoah","Pharo","Web","Negotiation","Haamida","Wonderful Services LLC",2014-12-14,0
"1689",27853806,70000,"Mcdonald","Jonathan","Social","Negotiation","Rachelle","Wonderful Goods Inc.",2017-04-27,0
"1690",1800944,90000,"Neal","Eldriges","Conference","Proposal","Johnson","Popular Enterprises LLC",2013-03-29,0
"1691",15474038,20000,"Jamison","Xavier","Web","Negotiation","Hunter","Popular Enterprises Inc.",2015-12-03,0
"1692",8539897,10000,"Jones","Aimee","Trade Show","Prospect","Shay","Great Products LLP",2016-03-24,0
"1693",66854483,30000,"al-Abbas","Azmi","Paid Ads","Negotiation","Rachelle","Wonderful Goods LLP",2017-09-11,0
"1694",16987963,100000,"el-Kader","Layaali","Webinar","Proposal","Nestor","Popular Products LLC",2012-11-16,0
"1695",96936683,40000,"Kim","Ashley","Trade Show","Suspect","Angelo","Wonderful Enterprises LLP",2016-10-12,0
"1696",37338312,30000,"el-Salih","Richard","Referral","Suspect","Nestor","Wonderful Goods LLC",2012-05-11,0
"1697",67155838,90000,"Clark","Raven","Social","Suspect","Hunter","Great Enterprises LLP",2016-08-25,0
"1698",18449434,40000,"el-Salih","Haseena","Paid Ads","Suspect","Nestor","Great Services LLP",2015-12-30,0
"1699",15000281,90000,"Contreras","Amanda","Referral","Prospect","Rachelle","Great Goods LLC",2016-05-07,0
"1700",48396682,10000,"Parton","Zaamil","Web","Negotiation","Shay","Wonderful Services Inc.",2013-05-11,0
"1701",152970,100000,"Beckner","Derrick","Email","Negotiation","Johnson","Popular Services Inc.",2012-03-29,0
"1702",82711004,20000,"Janello","Jean-Marie","Paid Ads","Closed Lost","Haamida","Popular Services LLC",2014-04-25,0
"1703",64598505,70000,"Miller","Brian","Email","Lead","Johnson","Great Services LLC",2012-11-24,0
"1704",83823201,70000,"Blood","Bryce","Webinar","Closed Won","Angelo","Wonderful Partners LLP",2017-10-03,1
"1705",261080,50000,"Tillman","Dezmenn","Email","Prospect","Victor","Wonderful Partners LLP",2014-01-21,0
"1706",13974297,100000,"Elliott","Nicholas","Web","Lead","Angelo","Popular Services LLC",2012-04-23,0
"1707",25511280,40000,"Vo","Jacob","Conference","Closed Won","Angelo","Wonderful Products Inc.",2014-06-22,1
"1708",61319850,20000,"al-Rauf","Michael","Conference","Proposal","Nestor","Great Services LLC",2014-09-05,0
"1709",75463598,30000,"al-Majid","Tonny","Paid Ads","Prospect","Johnson","Popular Services LLP",2017-09-08,0
"1710",59539720,30000,"al-Pasha","Connor","Referral","Proposal","Victor","Wonderful Partners LLP",2012-12-03,0
"1711",40793836,50000,"Victorino","Angel","Web","Proposal","Haamida","Great Goods LLC",2014-07-30,0
"1712",59851437,40000,"Bolding","Preston","Email","Prospect","Haamida","Wonderful Partners LLC",2013-02-14,0
"1713",84753719,20000,"Malazada","Raabiya","Referral","Negotiation","Shay","Popular Products Inc.",2013-02-19,0
"1714",54536567,100000,"Hadley","Myanne","Web","Proposal","Nestor","Great Partners LLC",2014-08-03,0
"1715",90945935,40000,"Melgosa","Taaliba","Conference","Opportunity","Shay","Wonderful Enterprises Inc.",2014-04-29,0
"1716",61769681,70000,"Miles","Myell","Webinar","Proposal","Victor","Great Enterprises LLC",2016-11-23,0
"1717",37391045,70000,"Garrison","Kevin","Paid Ads","Suspect","Shay","Great Enterprises Inc.",2014-10-27,0
"1718",16301729,40000,"Fraser","Deangelo","Paid Ads","Closed Lost","Rachelle","Popular Products Inc.",2014-12-18,0
"1719",75358363,50000,"Locust","Alec","Web","Suspect","Rachelle","Great Goods LLC",2012-03-19,0
"1720",42578007,40000,"Marlow","Ruth-Ann","Trade Show","Prospect","Hunter","Popular Services LLP",2015-09-04,0
